player,span,matches,innings,balls,overs,maidens,runs,wickets,best,average,economy,strikeRate,fourWickets,fiveWickets,foreign,style
Yuzvendra Chahal,2014-2021,113,112,2424,404,4,3063,139,4/25,22.03,7.58,17.43,2,0,false,
Harshal Patel,2012-2023,80,77,1624,270.4,2,2294,99,5/27,23.17,8.47,16.4,2,1,false,
Mohammed Siraj,2018-2024,87,87,1820,303.2,4,2610,83,4/21,31.44,8.6,21.92,1,0,false,
Vinay Kumar,2008-2013,70,69,1432,238.4,0,1982,80,4/40,24.77,8.3,17.9,1,0,false,
Josh Hazlewood,2022-2026,34,34,762,127,1,1098,54,4/12,20.33,8.64,14.11,3,0,false,
Anil Kumble,2008-2010,51,51,1174,195.4,1,1303,53,5/5,24.58,6.65,22.15,2,1,false,
Sreenath Aravind,2011-2017,44,44,898,149.4,0,1288,51,4/14,25.25,8.6,17.6,2,0,false,
Zaheer Khan,2008-2013,44,43,1002,167,2,1312,49,4/17,26.77,7.85,20.44,1,0,false,
P Kumar,2008-2010,47,47,1016,169.2,3,1363,41,3/18,33.24,8.04,24.78,0,0,false,
Dale Steyn,2008-2020,40,39,898,149.4,1,1097,38,3/18,28.86,7.32,23.63,0,0,false,
Wanindu Hasaranga,2021-2023,26,26,552,92,1,748,35,5/18,21.37,8.13,15.77,1,1,false,
Mitchell Starc,2014-2015,27,26,580,96.4,1,693,34,4/15,20.38,7.16,17.05,1,0,false,
Bhuvneshwar Kumar,2009-2026,25,25,570,95,0,812,34,3/5,23.88,8.54,16.76,0,0,false,
Jacques Kallis,2008-2010,46,45,908,151.2,4,1231,30,3/16,41.03,8.13,30.26,0,0,false,
UT Yadav,2018-2020,27,27,588,98,1,872,28,3/23,31.14,8.89,21,0,0,false,
Yash Dayal,2024-2025,29,29,595,99.1,0,929,28,3/20,33.17,9.36,21.25,0,0,false,
Krunal Pandya,2025-2026,25,24,462,77,0,649,27,4/45,24.03,8.42,17.11,1,0,false,
Shane Watson,2016-2017,24,24,500,83.2,0,730,25,4/29,29.2,8.76,20,1,0,false,
Daniel Vettori,2011-2012,28,28,658,109.4,0,708,24,3/19,29.5,6.45,27.41,0,0,false,
M Muralidaran,2012-2014,21,21,474,79,0,561,21,3/21,26.71,7.1,22.57,0,0,false,
VR Aaron,2014-2016,24,23,466,77.4,1,703,21,3/16,33.47,9.05,22.19,0,0,false,
P Negi,2017-2019,21,18,284,47.2,0,348,20,3/10,17.4,7.35,14.2,0,0,false,
Washington Sundar,2018-2021,31,31,570,95,1,682,19,3/24,35.89,7.17,30,0,0,false,
Glenn Maxwell,2021-2024,52,29,398,66.2,1,523,18,2/22,29.05,7.88,22.11,0,0,false,
NA Saini,2019-2021,28,28,586,97.4,1,828,17,2/24,48.7,8.47,34.47,0,0,false,
KV Sharma,2009-2024,17,16,273,45.3,0,477,17,2/19,28.05,10.48,16.05,0,0,false,
D Wiese,2015-2016,15,14,278,46.2,0,402,16,4/33,25.12,8.67,17.37,1,0,false,
RE van der Merwe,2009-2010,15,15,318,53,0,368,15,2/22,24.53,6.94,21.2,0,0,false,
Suyash Sharma,2025-2026,23,23,491,81.5,1,711,15,3/17,47.4,8.68,32.73,0,0,false,
R Rampaul,2013-2014,12,12,262,43.4,4,298,14,3/31,21.28,6.82,18.71,0,0,false,
Shahbaz Ahmed,2020-2023,39,27,372,62,0,567,14,3/7,40.5,9.14,26.57,0,0,false,
JD Unadkat,2013-2013,13,13,294,49,0,370,13,5/25,28.46,7.55,22.61,0,1,false,
Chris Gayle,2011-2017,91,29,388,64.4,0,521,13,3/21,40.07,8.05,29.84,0,0,false,
RP Singh,2013-2013,11,11,239,39.5,0,335,13,3/13,25.76,8.41,18.38,0,0,false,
V Vyshak,2023-2024,11,11,231,38.3,0,395,13,3/20,30.38,10.25,17.76,0,0,false,
Iqbal Abdulla,2015-2017,15,15,294,49,1,418,12,3/40,34.83,8.53,24.5,0,0,false,
CH Morris,2020-2020,9,9,190,31.4,1,210,11,4/26,19.09,6.63,17.27,1,0,false,
CJ Jordan,2016-2016,9,9,168,28,0,258,11,4/11,23.45,9.21,15.27,1,0,false,
Romario Shepherd,2025-2026,18,16,186,31,0,371,11,3/54,33.72,11.96,16.9,0,0,false,
MM Ali,2018-2020,19,17,259,43.1,0,308,10,2/18,30.8,7.13,25.9,0,0,false,
J Syed Mohammad,2011-2013,15,15,264,44,0,378,10,2/15,37.8,8.59,26.4,0,0,false,
C Green,2024-2024,13,13,211,35.1,0,303,10,2/12,30.3,8.61,21.1,0,0,false,
M Kartik,2013-2013,11,11,234,39,0,284,9,2/24,31.55,7.28,26,0,0,false,
S Badree,2017-2017,7,7,150,25,1,188,9,4/9,20.88,7.52,16.66,1,0,false,
KP Appanna,2009-2012,14,13,216,36,0,286,9,4/19,31.77,7.94,24,1,0,false,
WD Parnell,2023-2023,7,7,151,25.1,0,236,9,3/10,26.22,9.37,16.77,0,0,false,
KA Jamieson,2021-2021,9,9,168,28,0,269,9,3/41,29.88,9.6,18.66,0,0,false,
A Mithun,2009-2013,17,17,300,50,0,497,9,2/25,55.22,9.94,33.33,0,0,false,
LH Ferguson,2024-2024,7,7,144,24,0,255,9,2/23,28.33,10.62,16,0,0,false,
B Akhil,2008-2010,18,15,218,36.2,0,260,8,2/17,32.5,7.15,27.25,0,0,false,
KW Richardson,2016-2021,5,5,102,17,0,165,8,3/13,20.62,9.7,12.75,0,0,false,
I Udana,2020-2020,10,10,174,29,0,282,8,2/41,35.25,9.72,21.75,0,0,false,
Rasikh Salam,2025-2026,8,8,155,25.5,0,259,8,4/24,32.37,10.02,19.37,1,0,false,
CR Woakes,2018-2018,5,5,110,18.2,0,190,8,3/36,23.75,10.36,13.75,0,0,false,
Kevin Pietersen,2009-2010,13,10,138,23,0,162,7,2/31,23.14,7.04,19.71,0,0,false,
MC Henriques,2013-2013,10,8,127,21.1,0,185,7,2/14,26.42,8.74,18.14,0,0,false,
Akash Deep,2022-2024,8,8,164,27.2,1,319,7,3/45,45.57,11.67,23.42,0,0,false,
AB McDonald,2012-2013,5,4,72,12,0,78,6,2/25,13,6.5,12,0,0,false,
MG Bracewell,2023-2023,5,5,66,11,0,95,6,2/13,15.83,8.63,11,0,0,false,
Swapnil Singh,2024-2024,7,7,90,15,0,133,6,2/28,22.16,8.86,15,0,0,false,
D du Preez,2009-2010,5,5,96,16,1,146,6,3/32,24.33,9.12,16,0,0,false,
TG Southee,2018-2019,11,11,228,38,0,379,6,3/30,63.16,9.97,38,0,0,false,
JA Duffy,2026-2026,3,3,72,12,0,138,6,3/22,23,11.5,12,0,0,false,
CK Langeveldt,2011-2011,3,3,66,11,0,84,5,2/10,16.8,7.63,13.2,0,0,false,
STR Binny,2016-2017,22,15,138,23,0,184,5,1/9,36.8,8,27.6,0,0,false,
Yuvraj Singh,2014-2014,14,10,136,22.4,0,187,5,4/35,37.4,8.25,27.2,1,0,false,
A Choudhary,2017-2017,5,5,101,16.5,2,144,5,2/17,28.8,8.55,20.2,0,0,false,
TS Mills,2017-2017,5,5,107,17.5,0,153,5,2/31,30.6,8.57,21.4,0,0,false,
P Parameswaran,2012-2012,3,3,60,10,0,87,5,3/30,17.4,8.7,12,0,0,false,
AB Dinda,2014-2015,11,11,216,36,0,332,5,1/14,66.4,9.22,43.2,0,0,false,
RR Bhatkal,2011-2012,6,6,102,17,0,167,5,3/21,33.4,9.82,20.4,0,0,false,
RJW Topley,2023-2024,5,5,102,17,0,182,5,2/27,36.4,10.7,20.4,0,0,false,
DJ Willey,2022-2023,8,8,156,26,1,177,4,2/16,44.25,6.8,39,0,0,false,
S Dube,2019-2020,15,7,64,10.4,0,81,4,2/15,20.25,7.59,16,0,0,false,
JA Morkel,2014-2014,7,6,96,16,0,126,4,1/18,31.5,7.87,24,0,0,false,
DP Nannes,2011-2011,8,8,162,27,1,243,4,1/0,60.75,9,40.5,0,0,false,
Virat Kohli,2008-2026,292,32,308,51.2,0,463,4,2/25,115.75,9.01,77,0,0,false,
AN Ahmed,2014-2015,7,7,158,26.2,0,241,4,1/18,60.25,9.15,39.5,0,0,false,
DT Christian,2013-2021,11,11,136,22.4,0,210,4,2/14,52.5,9.26,34,0,0,false,
Pankaj Singh,2009-2010,5,5,90,15,1,146,4,2/27,36.5,9.73,22.5,0,0,false,
AF Milne,2016-2017,5,5,108,18,0,177,4,2/27,44.25,9.83,27,0,0,false,
L Ngidi,2025-2025,2,2,48,8,0,81,4,3/30,20.25,10.12,12,0,0,false,
JD Ryder,2009-2009,5,5,102,17,0,115,3,2/14,38.33,6.76,34,0,0,false,
M Ashwin,2018-2018,2,2,42,7,0,53,3,2/36,17.66,7.57,14,0,0,false,
GHS Garton,2021-2021,5,5,90,15,0,135,3,1/27,45,9,30,0,0,false,
T Shamsi,2016-2016,4,4,96,16,0,147,3,1/21,49,9.18,32,0,0,false,
K Khejroliya,2018-2019,5,5,95,15.5,0,153,3,2/33,51,9.66,31.66,0,0,false,
JJ van der Wath,2011-2011,3,3,72,12,0,129,3,2/49,43,10.75,24,0,0,false,
R Ninan,2011-2011,2,2,36,6,0,65,3,2/31,21.66,10.83,12,0,0,false,
Abhinandan Singh,2026-2026,3,3,58,9.4,0,122,3,2/30,40.66,12.62,19.33,0,0,false,
CJ Anderson,2018-2018,3,3,52,8.4,0,115,3,2/47,38.33,13.26,17.33,0,0,false,
Sachin Baby,2016-2021,15,2,10,1.4,0,8,2,2/4,4,4.8,5,0,0,false,
ND Doshi,2010-2010,2,2,36,6,0,29,2,1/12,14.5,4.83,18,0,0,false,
A Zampa,2020-2020,3,3,66,11,0,92,2,1/12,46,8.36,33,0,0,false,
LS Livingstone,2025-2025,10,5,54,9,0,76,2,2/28,38,8.44,27,0,0,false,
TM Dilshan,2011-2013,30,14,168,28,0,239,2,1/10,119.5,8.53,84,0,0,false,
MP Stoinis,2019-2019,10,6,100,16.4,0,145,2,1/13,72.5,8.7,50,0,0,false,
B Stanlake,2017-2017,2,2,48,8,0,70,2,2/29,35,8.75,24,0,0,false,
C de Grandhomme,2018-2019,13,10,120,20,0,184,2,1/8,92,9.2,60,0,0,false,
TM Head,2016-2017,10,5,48,8,0,81,2,2/30,40.5,10.12,24,0,0,false,
